time,sfe,ssip,rfip,type
"11/18/2024, 06:19:11",-1820,-1820,1.0,1
"11/18/2024, 06:19:14",-1857,-1857,1.0,1
"11/18/2024, 06:19:17",-1893,-1893,1.0,1
"11/18/2024, 06:19:20",-1930,-1930,1.0,1
"11/18/2024, 06:19:23",-1966,-1966,1.0,1
"11/18/2024, 06:19:26",-2003,-2003,1.0,1
"11/18/2024, 06:19:29",-2040,-2040,1.0,1
"11/18/2024, 06:19:32",-2076,-2076,1.0,1
"11/18/2024, 06:19:35",-2113,-2113,1.0,1
"11/18/2024, 06:19:38",-2149,-2149,1.0,1
"11/18/2024, 06:19:41",-2186,-2186,1.0,1
"11/18/2024, 06:19:44",-2223,-2223,1.0,1
"11/18/2024, 06:19:47",-2259,-2259,1.0,1
"11/18/2024, 06:19:50",-2296,-2296,1.0,1
"11/18/2024, 06:19:53",-2333,-2333,1.0,1
"11/18/2024, 06:19:56",-2369,-2369,1.0,1
"11/18/2024, 06:19:59",-2406,-2406,1.0,1
"11/18/2024, 06:20:02",-2442,-2442,1.0,1
"11/18/2024, 06:20:05",-2479,-2479,1.0,1
"11/18/2024, 06:20:08",-2516,-2516,1.0,1
"11/18/2024, 06:20:11",-2552,-2552,1.0,1
"11/18/2024, 06:20:14",-2589,-2589,1.0,1
"11/18/2024, 06:20:17",-2626,-2626,1.0,1
"11/18/2024, 06:20:20",-2662,-2662,1.0,1
"11/18/2024, 06:20:23",-2699,-2699,1.0,1
"11/18/2024, 06:20:26",-2735,-2735,1.0,1
"11/18/2024, 06:20:29",-2772,-2772,1.0,1
"11/18/2024, 06:20:32",-2809,-2809,1.0,1
"11/18/2024, 06:20:35",-2845,-2845,1.0,1
"11/18/2024, 06:20:38",-2882,-2882,1.0,1
"11/18/2024, 06:20:41",-2918,-2918,1.0,1
"11/18/2024, 06:20:44",-2955,-2955,1.0,1
"11/18/2024, 06:20:47",-2992,-2992,1.0,1
"11/18/2024, 06:20:50",-3026,-3026,1.0,1
"11/18/2024, 06:20:53",-3063,-3063,1.0,1
"11/18/2024, 06:20:56",-3099,-3099,1.0,1
"11/18/2024, 06:20:59",-3136,-3136,1.0,1
"11/18/2024, 06:21:02",-3173,-3173,1.0,1
"11/18/2024, 06:21:05",-3209,-3209,1.0,1
"11/18/2024, 06:21:09",-3246,-3246,1.0,1
"11/18/2024, 06:21:11",-3282,-3282,1.0,1
"11/18/2024, 06:21:15",-3319,-3319,1.0,1
"11/18/2024, 06:21:18",-3356,-3356,1.0,1
"11/18/2024, 06:21:20",-3392,-3392,1.0,1
"11/18/2024, 06:21:23",-3429,-3429,1.0,1
"11/18/2024, 06:21:26",-3466,-3466,1.0,1
"11/18/2024, 06:21:29",-3502,-3502,1.0,1
"11/18/2024, 06:21:33",-3538,-3538,1.0,1
"11/18/2024, 06:21:35",-3539,-3539,1.0,1
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
"11/23/2024, 00:59:18",1,0,1.0,0
"11/23/2024, 00:59:21",0,0,1.0,0
"11/23/2024, 00:59:24",0,0,1.0,0
"11/23/2024, 00:59:27",0,0,1.0,0
"11/23/2024, 00:59:30",0,0,1.0,0
"11/23/2024, 00:59:33",-4,-3,1.0,0
"11/23/2024, 00:59:36",0,0,1.0,0
"11/23/2024, 00:59:39",-8,-5,1.0,0
"11/23/2024, 00:59:42",-18,-8,1.0,0
"11/23/2024, 00:59:45",-22,-8,1.0,0
"11/23/2024, 00:59:48",0,0,1.0,0
"11/23/2024, 00:59:51",-34,-10,1.0,0
"11/23/2024, 00:59:54",-38,-10,1.0,0
"11/23/2024, 00:59:57",0,0,1.0,0
"11/23/2024, 01:00:00",-40,-10,1.0,0
"11/23/2024, 01:00:03",-52,-10,1.0,0
"11/23/2024, 01:00:06",-56,-10,1.0,0
"11/23/2024, 01:00:09",0,0,1.0,0
"11/23/2024, 01:00:12",-60,-10,1.0,0
"11/23/2024, 01:00:15",-68,-10,1.0,0
"11/23/2024, 01:00:18",-72,-10,1.0,0
"11/23/2024, 01:00:21",0,0,1.0,0
"11/23/2024, 01:00:24",-78,-10,1.0,0
"11/23/2024, 01:00:27",0,0,1.0,0
"11/23/2024, 01:00:30",-80,-10,1.0,0
"11/23/2024, 01:00:33",0,0,1.0,0
"11/23/2024, 01:00:36",-90,-10,1.0,0
"11/23/2024, 01:00:39",-90,-10,1.0,0
"11/23/2024, 01:00:42",0,0,1.0,0
"11/23/2024, 01:00:45",-90,-10,1.0,0
"11/23/2024, 01:00:48",0,0,1.0,0
"11/23/2024, 01:00:51",-90,-10,1.0,0
"11/23/2024, 01:00:54",-90,-10,1.0,0
"11/23/2024, 01:00:57",-90,-10,1.0,0
"11/23/2024, 01:01:00",-90,-10,1.0,0
"11/23/2024, 01:01:03",-90,-10,1.0,0
"11/23/2024, 01:01:06",0,0,1.0,0
"11/23/2024, 01:01:09",-90,-10,1.0,0
"11/23/2024, 01:01:12",0,0,1.0,0
"11/23/2024, 01:01:15",-90,-10,1.0,0
"11/23/2024, 01:01:18",-90,-10,1.0,0
"11/23/2024, 01:01:21",-90,-10,1.0,0
"11/23/2024, 01:01:24",-90,-10,1.0,0
"11/23/2024, 01:01:27",-90,-10,1.0,0
"11/23/2024, 01:01:30",-90,-10,1.0,0
"11/23/2024, 01:01:33",-90,-10,1.0,0
"11/23/2024, 01:01:36",-90,-10,1.0,0
"11/23/2024, 01:01:39",-90,-10,1.0,0
"11/23/2024, 01:01:42",0,0,1.0,0
"11/23/2024, 01:01:45",-90,-10,1.0,0
"11/23/2024, 01:01:48",-90,-10,1.0,0
"11/23/2024, 01:01:51",-90,-10,1.0,0
"11/23/2024, 01:01:54",-90,-10,1.0,0
"11/23/2024, 01:01:57",-90,-10,1.0,0
"11/23/2024, 01:02:00",-90,-10,1.0,0
"11/23/2024, 01:02:03",-90,-10,1.0,0
"11/23/2024, 01:02:06",-90,-10,1.0,0
"11/23/2024, 01:02:09",-90,-10,1.0,0
"11/23/2024, 01:02:12",-90,-10,1.0,0
"11/23/2024, 01:02:15",0,0,1.0,0
"11/23/2024, 01:02:18",-90,-10,1.0,0
"11/23/2024, 01:02:21",0,0,1.0,0
"11/23/2024, 01:02:24",-90,-10,1.0,0
"11/23/2024, 01:02:27",0,0,1.0,0
"11/23/2024, 01:02:30",-90,-10,1.0,0
"11/23/2024, 01:02:33",-90,-10,1.0,0
"11/23/2024, 01:02:36",-90,-10,1.0,0
"11/23/2024, 01:02:39",-90,-10,1.0,0
"11/23/2024, 01:02:42",-90,-10,1.0,0
"11/23/2024, 01:02:45",-90,-10,1.0,0
"11/23/2024, 01:02:48",-90,-10,1.0,0
"11/23/2024, 01:02:51",-90,-10,1.0,0
"11/23/2024, 01:02:54",-90,-10,1.0,0
"11/23/2024, 01:02:57",-90,-10,1.0,0
"11/23/2024, 01:03:00",-90,-10,1.0,0
"11/23/2024, 01:03:03",-90,-10,1.0,0
"11/23/2024, 01:03:06",-90,-10,1.0,0
"11/23/2024, 01:03:09",-90,-10,1.0,0
"11/23/2024, 01:03:12",-90,-10,1.0,0
"11/23/2024, 01:03:15",-90,-10,1.0,0
"11/23/2024, 01:03:18",-90,-10,1.0,0
"11/23/2024, 01:03:21",-90,-10,1.0,0
"11/23/2024, 01:03:24",-90,-10,1.0,0
"11/23/2024, 01:03:27",-90,-10,1.0,0
"11/23/2024, 01:03:30",-90,-10,1.0,0
"11/23/2024, 01:03:33",-90,-10,1.0,0
"11/23/2024, 01:03:36",-90,-10,1.0,0
"11/23/2024, 01:03:39",-90,-10,1.0,0
"11/23/2024, 01:03:42",-90,-10,1.0,0
"11/23/2024, 01:03:45",-90,-10,1.0,0
"11/23/2024, 01:03:48",-90,-10,1.0,0
"11/23/2024, 01:03:51",-90,-10,1.0,0
"11/23/2024, 01:03:54",-90,-10,1.0,0
"11/23/2024, 01:03:57",-90,-10,1.0,0
"11/23/2024, 01:04:00",-90,-10,1.0,0
"11/23/2024, 01:04:03",-90,-10,1.0,0
"11/23/2024, 01:04:06",-90,-10,1.0,0
"11/23/2024, 01:04:09",-90,-10,1.0,0
"11/23/2024, 01:04:12",-90,-10,1.0,0
"11/23/2024, 01:04:15",-90,-10,1.0,0
"11/23/2024, 01:04:18",-90,-10,1.0,0
"11/23/2024, 01:04:21",-90,-10,1.0,0
"11/23/2024, 01:04:24",-90,-10,1.0,0
"11/23/2024, 01:04:27",-90,-10,1.0,0
"11/23/2024, 01:04:30",-90,-10,1.0,0
"11/23/2024, 01:04:33",-90,-10,1.0,0
"11/23/2024, 01:04:36",-90,-10,1.0,0
"11/23/2024, 01:04:39",-90,-10,1.0,0
"11/23/2024, 01:04:42",-90,-10,1.0,0
"11/23/2024, 01:04:45",0,0,1.0,0
"11/23/2024, 01:04:48",-90,-10,1.0,0
"11/23/2024, 01:04:51",-90,-10,1.0,0
"11/23/2024, 01:04:54",-90,-10,1.0,0
"11/23/2024, 01:04:57",-90,-10,1.0,0
"11/23/2024, 01:05:00",0,0,1.0,0
"11/23/2024, 01:05:03",-90,-10,1.0,0
"11/23/2024, 01:05:06",-90,-10,1.0,0
time,sfe,ssip,rfip,type
"11/23/2024, 01:05:10",-90,-10,1.0,1
"11/23/2024, 01:05:13",-90,-10,1.0,1
"11/23/2024, 01:05:16",-90,-10,1.0,1
"11/23/2024, 01:05:19",-90,-10,1.0,1
"11/23/2024, 01:05:22",-90,-10,1.0,1
"11/23/2024, 01:05:25",0,0,1.0,1
"11/23/2024, 01:05:28",-159,-79,1.0,1
"11/23/2024, 01:05:31",-195,-115,1.0,1
"11/23/2024, 01:05:34",-232,-152,1.0,1
"11/23/2024, 01:05:37",-269,-189,1.0,1
"11/23/2024, 01:05:40",0,0,1.0,1
"11/23/2024, 01:05:43",-342,-262,1.0,1
"11/23/2024, 01:05:46",-379,-299,1.0,1
"11/23/2024, 01:05:49",0,0,1.0,1
"11/23/2024, 01:05:52",-452,-372,1.0,1
"11/23/2024, 01:05:55",-488,-408,1.0,1
"11/23/2024, 01:05:58",-525,-445,1.0,1
"11/23/2024, 01:06:01",0,0,1.0,1
"11/23/2024, 01:06:04",-562,-482,1.0,1
"11/23/2024, 01:06:07",-635,-555,1.0,1
"11/23/2024, 01:06:10",-671,-591,1.0,1
"11/23/2024, 01:06:13",-708,-628,1.0,1
"11/23/2024, 01:06:16",-745,-665,1.0,1
"11/23/2024, 01:06:19",-781,-701,1.0,1
"11/23/2024, 01:06:22",-818,-738,1.0,1
"11/23/2024, 01:06:25",-855,-775,1.0,1
"11/23/2024, 01:06:28",-891,-811,1.0,1
"11/23/2024, 01:06:31",-928,-848,1.0,1
"11/23/2024, 01:06:34",-964,-884,1.0,1
"11/23/2024, 01:06:37",-1001,-921,1.0,1
"11/23/2024, 01:06:40",-1038,-958,1.0,1
"11/23/2024, 01:06:43",-1074,-994,1.0,1
"11/23/2024, 01:06:46",-1111,-1031,1.0,1
"11/23/2024, 01:06:49",-1147,-1067,1.0,1
"11/23/2024, 01:06:52",-1184,-1104,1.0,1
"11/23/2024, 01:06:55",-1221,-1141,1.0,1
"11/23/2024, 01:06:58",-1257,-1177,1.0,1
"11/23/2024, 01:07:01",-1294,-1214,1.0,1
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
"11/23/2024, 02:29:50",0,0,1.0,0
"11/23/2024, 02:29:53",0,0,1.0,0
"11/23/2024, 02:29:56",0,0,1.0,0
"11/23/2024, 02:29:59",0,0,1.0,0
"11/23/2024, 02:30:02",0,0,1.0,0
"11/23/2024, 02:30:05",0,0,1.0,0
"11/23/2024, 02:30:08",0,0,1.0,0
"11/23/2024, 02:30:11",0,0,1.0,0
"11/23/2024, 02:30:14",0,0,1.0,0
"11/23/2024, 02:30:17",0,0,1.0,0
"11/23/2024, 02:30:20",0,0,1.0,0
"11/23/2024, 02:30:23",0,0,1.0,0
"11/23/2024, 02:30:26",0,0,1.0,0
"11/23/2024, 02:30:29",0,0,1.0,0
time,sfe,ssip,rfip,type
"11/23/2024, 02:33:47",-8,-6,1.0,0
"11/23/2024, 02:33:50",-14,-8,1.0,0
"11/23/2024, 02:33:53",-16,-8,1.0,0
"11/23/2024, 02:33:56",-24,-9,1.0,0
"11/23/2024, 02:33:59",-28,-10,1.0,0
"11/23/2024, 02:34:02",-32,-10,1.0,0
"11/23/2024, 02:34:05",-36,-10,1.0,0
"11/23/2024, 02:34:08",-38,-10,1.0,0
"11/23/2024, 02:34:11",-42,-10,1.0,0
"11/23/2024, 02:34:14",-44,-10,1.0,0
"11/23/2024, 02:34:17",-48,-10,1.0,0
"11/23/2024, 02:34:20",-52,-10,1.0,0
"11/23/2024, 02:34:23",-52,-10,1.0,0
"11/23/2024, 02:34:26",-56,-10,1.0,0
"11/23/2024, 02:34:29",-64,-10,1.0,0
"11/23/2024, 02:34:32",-70,-10,1.0,0
"11/23/2024, 02:34:35",-72,-10,1.0,0
"11/23/2024, 02:34:38",-74,-10,1.0,0
"11/23/2024, 02:34:41",-74,-10,1.0,0
"11/23/2024, 02:34:44",-80,-10,1.0,0
"11/23/2024, 02:34:47",-80,-10,1.0,0
"11/23/2024, 02:34:50",-82,-10,1.0,0
"11/23/2024, 02:34:53",-84,-10,1.0,0
"11/23/2024, 02:34:56",-84,-10,1.0,0
"11/23/2024, 02:34:59",-86,-10,1.0,0
"11/23/2024, 02:35:02",0,0,1.0,0
"11/23/2024, 02:35:05",-86,-10,1.0,0
"11/23/2024, 02:35:08",-86,-10,1.0,0
"11/23/2024, 02:35:11",-88,-10,1.0,0
"11/23/2024, 02:35:14",-88,-10,1.0,0
"11/23/2024, 02:35:17",-88,-10,1.0,0
"11/23/2024, 02:35:20",-90,-10,1.0,0
"11/23/2024, 02:35:23",-90,-10,1.0,0
"11/23/2024, 02:35:26",-90,-10,1.0,0
"11/23/2024, 02:35:29",-90,-10,1.0,0
"11/23/2024, 02:35:32",-90,-10,1.0,0
"11/23/2024, 02:35:35",-90,-10,1.0,0
"11/23/2024, 02:35:38",-90,-10,1.0,0
"11/23/2024, 02:35:41",-90,-10,1.0,0
"11/23/2024, 02:35:44",-90,-10,1.0,0
